Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C18, C184, C20, C5",0805,6,16 10uF X5R,C19702
"C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C14, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C15, C150, C151, C152, C153, C154, C155, C156, C157, C158, C159, C160, C161, C162, C163, C17, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C186, C187, C19, C2, C21, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",0603,165,100n 50V X7R 0603,C314282
"C11, C9",TH alu cap 6.3mm P2.5 bottom,2,330uF 25V,C48935355
C12,0603,1,12pF,
"C13, C16, C183, C185, C22, C6",0603,6,50V 1uF 0603,C15849
D1,0805,1,LED RED 0805,C965812
"D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D12, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D13, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D14, D140, D141, D142, D15, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D16, D160, D161, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,152,WS2812B,C22461793
D162,SOT-23,1,ESD_SOT23_TPET24US3,C521947
D2,D_SMA,1,D_Schottky_3A_40V,C354996
F1,1206,1,FUSE_1206_5A,C136351
FB1,1206,1,3A 40mΩ 600Ω@100MHz,C357023
FL1,WCM2012F Series common mode choke,1,Filter_EMI_LL,C52016721
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
MK1,MIC4013-G-C49118386,1,Microphone_Condenser,C49118386
"Q1, Q2",SOT-23,2,FET_N_2N7002,C8545
"Q3, Q4",SOT-23,2,AO3401A,C15127
Q5,SOT-23-6,1,N-Fet_Dual_NM8205_SOT23-6,C5156806
Q6,SOT-23,1,BC817,C2926189
R1,0603,1,R 400mR 0603,C5126106
"R10, R2, R24, R29, R3, R32, R33, R34, R35, R41, R7, R8",0603,12,R_10K_0603,C98220
"R11, R12, R14, R15, R19, R36, R42",0603,7,R_5k1_0603,C23186
"R13, R17, R38, R39",0603,4,100k 0603,C25803
"R16, R18, R20, R23, R28, R30, R31, R37, R4, R40, R5, R6",0603,12,R 1K 0603,C25585
"R21, R22, R25, R26, R27, R43",0603,6,27R 0603,
R9,R_LDR_5.0x4.1mm_P3mm_Vertical,1,R_Photo GL5537（20-30k）,C125628 
SW1,SW_SPST_PTS647_Sx38,1,USR1,C22375347
SW4,SW_SPST_PTS647_Sx38,1,USR2,C22375347
TP1,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,1,TestPoint,C5199802
U1,TSOT-23-5,1,TP4054,C668215
U2,usb-board-angled,1,~,
U3,SOT-23-6,1,Battery-protector-DW01,C917079
U4,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2944070
U5,SOT-23-6,1,AF223,C723856
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
