Component,Feeder,Nozzle,Speed,Height
0603 100k 0603,R5,1/2,100,0.5
0603 100n 50V X7R 0603,R18,1/2,100,0.5
0603 12pF,R15,1/2,100,0.5
0603 27R 0603,R4,1/2,100,0.5
0603 50V 1uF 0603,R16,1/2,100,0.5
0603 R 1K 0603,R2,1/2,100,0.5
0603 R 400mR 0603,R6,1/2,100,0.5
0603 R_10K_0603,R1,1/2,100,0.5
0603 R_5k1_0603,R3,1/2,100,0.5
0805 16 10uF X5R,R17,1/2,100,0.5
0805 LED RED 0805,L16,1/2,100,0.5
1206 3A 40mΩ 600Ω@100MHz,,1/2,100,0.5
1206 FUSE_1206_5A,,1/2,100,0.5
D_SMA D_Schottky_3A_40V,,1/2,100,0.5
ESP32-C3-WROOM-02 ESP32-C3-WROOM-02,,1/2,100,0.5
LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B,L23,1/2,100,0.5
MIC4013-G-C49118386 Microphone_Condenser,,1/2,100,0.5
R_LDR_5.0x4.1mm_P3mm_Vertical R_Photo GL5537（20-30k）,,1/2,100,0.5
SOT-223-3_TabPin2 AMS1117-3.3,,1/2,100,0.5
SOT-23 AO3401A,,1/2,100,0.5
SOT-23 BC817,,1/2,100,0.5
SOT-23 ESD_SOT23_TPET24US3,,1/2,100,0.5
SOT-23 FET_N_2N7002,,1/2,100,0.5
SOT-23-6 AF223,,1/2,100,0.5
SOT-23-6 Battery-protector-DW01,,1/2,100,0.5
SOT-23-6 N-Fet_Dual_NM8205_SOT23-6,,1/2,100,0.5
SW_SPST_PTS647_Sx38 USR1,,1/2,100,0.5
SW_SPST_PTS647_Sx38 USR2,,1/2,100,0.5
TSOT-23-5 TP4054,,1/2,100,0.5
TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded TestPoint,,1/2,100,0.5
WCM2012F Series common mode choke Filter_EMI_LL,,1/2,100,0.5
usb-board-angled ~,,1/2,100,0.5
